avgLineLength,stdDevLineLength,maxDecisionTokens,numLiteralsDensity,nestingDepth,maxDepthASTNode,branchingFactor,avgParams,stdDevNumParams,avgFunctionLength,avgIdentifierLength,nttf_Module,nttf_FunctionDef,nttf_Assign,nttf_For,nttf_Expr,nttf_arguments,nttf_Name,nttf_Call,nttf_List,nttf_Subscript,nttf_Attribute,nttf_Tuple,nttf_ListComp,nttf_comprehension,ntad_Module,ntad_FunctionDef,ntad_Assign,ntad_For,ntad_Expr,ntad_arguments,ntad_Name,ntad_Call,ntad_List,ntad_Subscript,ntad_Attribute,ntad_Tuple,ntad_ListComp,ntad_comprehension,numKeywordsDensity,def_Density,for_Density,in_Density,sloc,numVariablesDensity,numFunctionsDensity,numInputStmtsDensity,numAssignmentStmtDensity,numFunctionCallsDensity,numStatementsDensity,numClassesDensity,cyclomaticComplexity,maintainabilityIndex,ntad_DictComp,nttf_keyword,nttf_Set,nttf_ClassDef,nttf_ExceptHandler,while_Density,nttf_Starred,yield_Density,elif_Density,break_Density,nttf_While,nttf_BoolOp,nttf_Compare,class_Density,nttf_SetComp,ntad_Return,nttf_JoinedStr,nttf_UnaryOp,from_Density,nttf_Import,True_Density,nttf_FormattedValue,nttf_IfExp,is_Density,ntad_ImportFrom,ntad_Starred,ntad_Try,ntad_UnaryOp,ntad_While,pass_Density,ntad_ExceptHandler,nttf_Return,nttf_Yield,ntad_BoolOp,nttf_DictComp,import_Density,try_Density,nttf_ImportFrom,None_Density,except_Density,ntad_JoinedStr,nttf_Try,nttf_Lambda,ntad_Lambda,ntad_Compare,ntad_IfExp,nttf_arg,ntad_arg,ntad_Import,return_Density,ntad_Delete,nttf_If,ntad_GeneratorExp,nttf_GeneratorExp,not_Density,continue_Density,global_Density,ntad_ClassDef,ntad_SetComp,ntad_Yield,ntad_If,nttf_BinOp,nttf_AugAssign,ntad_FormattedValue,ntad_Dict,ntad_Set,else_Density,and_Density,if_Density,ntad_Slice,ntad_keyword,nttf_Slice,or_Density,nttf_Delete,nttf_Dict,False_Density,del_Density,lambda_Density,as_Density,ntad_AugAssign,ntad_BinOp,filename,label
27.06,15.28,6,0.2,2,9,1.65,2.0,0,6.0,4.56,1,1,9,2,3,1,53,22,1,8,3,1,1,1,0.0,1.0,2.22,1.5,2.0,2.0,4.98,4.05,2.0,5.62,5.33,4.0,5.0,6.0,0.47,0.07,0.2,0.2,15,0.4,0.07,0.27,0.6,1.47,1.0,0.0,4,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ai_SILLYPRS_1.py,1
21.71,9.32,11,0.86,2,8,1.73,0.0,0,0.0,2.78,1,0,2,1,2,0,15,8,0,0,1,1,0,0,0.0,0,1.5,1.0,3.0,0,4.13,3.5,0,0,5.0,3.0,0,0,0.71,0,0.14,0.14,7,0.14,0.0,0.29,0.29,1.14,0.86,0.0,4,69.0179252405524,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,2,0,0,0,0,0.14,0,0.14,0,0,0,0.14,0,0,0,0,0,0,0,5.0,ai_MATCHS_1.py,1
23.41,8.87,6,0.33,5,8,1.75,2.0,0,13.0,4.81,1,1,8,3,3,1,44,11,1,1,2,3,0,0,0.0,1.0,2.25,2.0,2.0,2.0,4.36,3.18,2.0,4.0,4.5,3.67,0,0,0.43,0.05,0.14,0.14,21,0.29,0.05,0.14,0.38,0.52,1.0,0.0,6,57.78658537403081,0,0,0,0,0,0,0,0,0.05,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4.5,0,4,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,5.0,0,ai_ABREPEAT_2.py,1
34.87,23.82,10,0.67,4,10,1.7,0.0,0,0.0,5.36,1,0,4,2,3,0,30,15,3,0,3,0,1,2,0.0,0,1.75,1.5,4.33,0,5.27,4.4,3.67,0,4.67,0,3.0,6.0,1.2,0,0.27,0.4,15,0.27,0.0,0.2,0.27,1.0,0.93,0.0,9,63.67182954583471,0,0,0,0,0,0,0,0,0.07,0.13,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,0,0,0,0,0,3,7.0,1,0.13,0,0,0,0,0,3.67,0,0,0,0,0,0.07,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,ai_C00K0FF_2.py,1
17.65,10.54,11,0.73,3,8,1.81,0.0,0,0.0,2.91,1,0,5,2,3,0,30,10,1,4,1,0,0,0,0.0,0,2.4,1.0,2.67,0,4.57,3.2,2.0,5.25,4.0,0,0,0,0.73,0,0.13,0.13,15,0.33,0.0,0.13,0.33,0.67,0.93,0.0,6,59.46796803331933,0,0,0,0,0,0.07,0,0,0,0,1,1,3,0,0,0,0,2,0.07,0,0,0,0,0,1.0,0,0,6.0,3.0,0,0,0,0,4.0,0,0.07,0,1,0,0,0,0,0,0,4.33,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,2,1,0,0,0,0.07,0.07,0.07,0,0,0,0,0,0,0,0,0,0.07,4.0,4.5,human_ADMAG_2.py,0
17.0,12.58,13,0.4,3,8,1.7,0.0,0,0.0,2.43,1,0,3,1,3,0,33,13,0,0,1,1,0,0,0.0,0,1.67,1.0,3.67,0,4.88,4.0,0,0,5.0,3.0,0,0,0.5,0,0.1,0.1,10,0.2,0.0,0.2,0.3,1.3,0.9,0.0,4,63.22709207352893,0,0,0,0,0,0,0,0,0.1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2.5,7,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,4.86,human_SEBIHWY_1.py,0
20.15,9.15,12,0.63,3,8,1.77,2.0,0,10.0,3.27,1,1,4,2,3,1,34,14,3,1,3,1,0,0,0.0,1.0,1.75,1.5,3.0,2.0,4.41,3.86,3.67,4.0,5.33,3.0,0,0,0.74,0.05,0.11,0.11,19,0.16,0.05,0.11,0.21,0.74,0.95,0.0,7,57.434004777793795,0,0,0,0,0,0,0,0,0,0.05,0,0,4,0,0,2.67,0,3,0,0,0,0,0,0,0,0,0,4.67,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3.25,0,0,0,0,0.16,0,4,0,0,0,0,0,0,0,0,2.25,2,0,0,0,0,0.05,0,0.21,0,0,0,0,0,0,0,0,0,0,0,4.0,ai_AMMEAT2_1.py,1
24.19,7.64,6,0.38,4,8,1.73,0.0,0,0.0,3.22,1,0,10,4,3,0,59,19,2,4,2,2,0,0,0.0,0,2.7,2.75,3.67,0,5.2,4.42,4.0,6.0,5.0,3.5,0,0,0.77,0,0.15,0.15,26,0.23,0.0,0.12,0.38,0.73,0.92,0.0,11,53.23335791595905,0,0,0,0,0,0,0,0,0.04,0,0,1,4,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,0,0,0,0,0,0,4.75,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3.2,2,2,0,0,0,0.08,0.04,0.15,0,0,0,0,0,0,0.08,0,0,0,5.0,3.0,ai_PROBSET_1.py,1
18.12,10.68,6,0.47,4,10,1.63,1.0,0,3.0,2.54,1,1,3,1,4,1,30,16,0,0,3,1,0,1,0.0,1.0,2.0,1.0,4.25,2.0,5.23,4.81,0,0,5.33,3.0,0,6.0,0.73,0.07,0.13,0.13,15,0.13,0.07,0.13,0.2,1.07,0.93,0.0,7,61.18934332672389,0,0,0,0,0,0.07,0,0,0.13,0,1,0,4,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.75,0,0,0,0,0.07,0,3,5.0,1,0,0,0,0,0,0,3.0,1,0,0,0,0,0.07,0,0.07,0,0,0,0,0,0,0,0,0,0,0,6.0,ai_ABX01_1.py,1
15.25,9.87,6,0.33,3,9,1.64,0.0,0,0.0,2.92,1,0,4,2,1,0,23,10,0,0,1,1,0,0,0.0,0,2.0,1.5,2.0,0,4.17,3.6,0,0,6.0,4.0,0,0,0.56,0,0.22,0.22,9,0.33,0.0,0.33,0.44,1.11,1.0,0.0,4,68.45620632483141,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,1,1,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,4.0,5.0,human_JDELAY_2.py,0
